正常蓄水位_m,年份,水电工程投资_万元,水库补偿_万元,替代火电站投资_万元,煤矿投资_万元,初期运行及燃料费_万元,合计_万元,折算至施工期末_万元
108.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,2,17542.54317279025,1927.3500000000001,0.0,0.0,0.0,19469.89317279025,45908.98965079747
108.0,3,16172.031987416012,3854.7000000000003,0.0,0.0,0.0,20026.731987416013,42929.07858909406
108.0,4,12471.65178690557,7709.400000000001,0.0,0.0,0.0,20181.05178690557,39327.16071312846
108.0,5,17816.6454098651,9636.75,0.0,0.0,0.0,27453.3954098651,48635.36462569605
108.0,6,9867.680534694517,7709.400000000001,0.0,0.0,0.0,17577.080534694516,28308.063971930875
108.0,7,16994.338698640557,7709.400000000001,0.0,0.0,0.0,24703.738698640558,36168.74382867965
108.0,8,16583.185343028283,0.0,0.0,0.0,0.0,16583.185343028283,22072.21969157065
108.0,9,14664.46968350435,0.0,0.0,0.0,307.5711080226495,14972.040791527,18116.169357747673
108.0,10,7537.811519558311,0.0,0.0,0.0,1076.4988780792733,8614.310397637584,9475.741437401344
108.0,11,-21242.923373300695,0.0,0.0,0.0,1384.069986101923,-19858.85338719877,-19858.85338719877
