正常蓄水位_m,月份,防破坏线有效蓄水量_m3s月,防破坏线库蓄水量_m3s月,防破坏线水位_m,防洪限制水位_m,加大出力辅助线1_m,加大出力辅助线2_m,加大出力辅助线3_m,正常蓄水位_m_线
115.0,4月,132.5030048392316,576.1990848392318,96.18578590993646,114.67791380566086,100.80881788386756,105.43184985779865,110.05488183172976,115.0
115.0,5月,0.0,443.69608000000017,92.23,114.67791380566086,97.84197845141522,103.45395690283044,109.06593535424565,115.0
115.0,6月,182.54617754858566,626.2422575485858,97.67979034955177,114.67791380566086,101.92932121357904,106.17885207760631,110.42838294163359,115.0
115.0,7月,570.3701954123201,1014.0662754123202,105.48239649622234,114.67791380566086,107.78127582358196,110.08015515094161,112.37903447830124,115.0
115.0,8月,1253.385717302707,1697.0817973027072,114.67791380566086,114.67791380566086,114.67791380566086,114.67791380566086,114.67791380566086,115.0
115.0,9月,1160.0215565991075,1603.7176365991077,113.65623405446426,,,,,115.0
115.0,10月,1282.8189199999995,1726.5149999999996,115.0,,,,,115.0
115.0,11月,1275.1918956538127,1718.8879756538129,114.9165378205335,,,,,115.0
115.0,12月,1083.9680003598228,1527.664080359823,112.82398345819051,,,,,115.0
115.0,1月,889.7699422476435,1333.4660222476437,110.69888296781288,,,,,115.0
115.0,2月,615.5862651664809,1059.282345166481,106.28177542547347,,,,,115.0
115.0,3月,412.26050711292714,855.9565871129273,102.68716121761062,,,,,115.0
