年份,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,年平均
1951,3919,3040,1976.3,2946.7,525.3,664.5,1341,683,1170,668.7,1137.7,2578.6,1720.9
1952,2011,5444.3,3826.3,3722,4423.3,2813.3,2669.7,1028.3,703.3,590.3,843,3013.7,2590.7
1953,2488,3562.3,2909.3,1710,920.3,1065.3,2296.4,2405,857.6,1459.3,1095.7,1082,1820.9
1954,3471.7,5878.7,7006,9406.7,5411.7,913,556.3,417.7,433.7,417.7,606.4,1170.3,2974.2
1955,1521,5353.7,5585.7,1722,2020.3,946.3,449,1200,462,521,619.4,925.3,1777.2
1956,2443,6130,2825.7,967.7,1380,633.3,397,451.3,340.3,450,879,868.9,1479.7
1957,2223.7,3908,2761.3,1127.3,3564.7,518.3,494,713,1248.2,729,850.8,1085.6,1435.2
1958,1560.7,5833.3,2240.7,4025.3,3196.7,1726,1939,579.7,411,446.3,1660.5,2207.3,2152.2
1959,2212.3,4300,4578,1985.7,712,494.7,435.3,856.6,821.7,603.3,644.1,1511,1596.2
1960,1575.3,3072.3,3202,3640,869.7,447.1,357,604.3,442.3,391.7,644.2,2163.3,1450.8
1961,4202.3,2124,2657,688.7,1067.3,581.3,1007.4,2678.3,936.7,929.7,568.7,1208.7,1554.2
1962,2142.7,4897,4821,2914,1756.7,957.7,1159.7,1449.3,980,471,531.9,602.9,1891.8
1963,2107.7,4116.7,835.7,2976,1653,361.3,1093.5,1586.3,1573.3,720,1222,2735,1748.4
1964,5903.3,4110,5336.7,2034.7,2111,1276,1164,930,525.7,548,567.5,1060,2130.6
1965,2641,4383.3,3613,2031,2198,1259,2377,1292,1190.4,716.7,1117.5,730.5,1962.5
1966,2912,2320.7,3612.7,4739.3,622,431.3,854.2,528.7,448.3,418.7,801.6,1361.7,1587.6
1967,2282.7,6630.7,5375.3,2471,2888.7,1894,1437,1569.7,1021.7,713.7,728.3,2372,2452.9
1968,3669,3394.7,4110.3,4388.7,2167.7,2000.3,1004.7,1615.3,854.7,1037,617,1027.6,2157.3
1969,1381.7,3544.7,3380,7640,4738.3,1718,1170.1,1543.3,566.7,518.7,953.2,1212,2364
1970,3104,5891,2863.3,6704,1127.3,1997.7,665.7,509.7,974.7,777.3,1146.3,1069,2235.8
1971,2583,4146.3,5093,1599,1582,1023.7,746,605,387.7,438,753.2,1108.7,1672.1
1972,3139.3,3834.3,2414,801.3,367.7,1093,2668.7,2620,859.3,1026.9,1670.7,1324.7,1818.3
1973,3671.3,4785.3,5870.3,2377.7,2104,3297.3,829.7,591,423.7,472.7,737.7,498,2135.7
1974,2433.7,3548,3394.7,5636,1431.7,546.3,1115.7,363.3,371.3,381.7,482.7,671.7,1698.1
1975,2463.3,7589.7,4170,1282,872.3,685.7,636.7,1643,650.7,404.3,648.3,1135.3,1848.4
1976,2432.7,4407.3,5186.7,4108.3,1023.7,850.7,1219,1650,595.3,497,895,1228,2007.8
1977,4926,5487,6752,4321,2253,1013,1399,1980,595,753.3,573.7,623.7,2556.4
1978,1078.3,3137,3818,1170,934.7,901.7,730.3,1767.7,775,546.7,823,734,1368
1979,868.3,2389,6567,3800,2096.3,2414.3,602.3,437.3,395.3,454.3,691.3,1096.7,1817.7
1980,2772.7,3552,4572.7,4606.7,5756.7,1033.3,1651.3,712,684.3,574.3,801,1019.7,2313.1
1981,3319.3,3333,2943,1286.7,667,582,739.7,1540.3,646,459,1680.3,1320.3,1543
,,,,,,,,,,,,,
